名称,武器分类,基础准度,静止射击准度,移动射击准度,被瞄准射击准度,存在距离加成,最大连射奖励次数,最小散步,最大散步,散射角度,散射无规律,造成状态效果概率,对地最小射程,对直升机最小射程,对固定翼最小射程,对地最大射程,对直升机最大射程,对固定翼最大射程,伤害类别,伤害类型索引,基底伤害量,物理伤害溅射半径,压制伤害,压制伤害建设半径,允许未命中造成压制伤害,武器穿深进化类型,引导方式,瞄准时间,装填时间,发射间隔时间,可发射次数,校准射击瞄准时间修正系数,校准射击散步修正系数,补给消耗,投射物类型,烟雾类型,单一锁敌,乱序射击,可穿甲,可移动射击,可直接瞄准,可曲射射击,可盲射,盲射射击次数,可杀伤固定翼,瞄准目标中心,强制造成对顶伤害,造成着火效果,造成着火概率,无友军伤害,射击隐匿惩罚,串联武器,子弹药描述,展示连射准度,面板消耗弹药数量,效果间隔,弹药类型,对地最小射程,对地最大射程,投射物最小射程,高度射程
Ammo_110mm_Rocket_x12,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,1.6,292.198967,200.0,876.596901,无,无,无,否,是,0.2,12,是,无,1200,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,12,0.2,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_110mm_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,1.6,292.198967,200.0,876.596901,无,无,无,否,是,0.3,6,是,无,1200,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.3,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_127mm_HVAR_AP_Rocket_x10,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,25,0.0,无,无,14609.948349999999,无,无,无,无,3.0,292.198967,500.0,1314.8953514999998,无,无,无,否,是,0.2,10,是,无,2400,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,10,0.2,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_127mm_HVAR_AP_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,3.0,292.198967,500.0,1314.8953514999998,无,无,无,否,是,0.3,6,是,无,1440,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.5,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_127mm_HVAR_HE_Rocket_x10,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.6,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.2,10,是,无,1980,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,10,0.2,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_M13_HE_Rocket_x4,MinMax_ROCKET,否,25,25,否,无,无,58.4397934,116.8795868,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.6,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.3,4,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_NapalmLeger,是,否,是,无,无,无,4,0.2,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_RBS132_AP_Rocket_x10,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,25,0.0,无,无,14609.948349999999,无,无,无,无,3.0,292.198967,500.0,1314.8953514999998,无,无,无,否,是,0.2,10,是,无,2400,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,10,0.2,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_RBS132_AP_Rocket_x4,MinMax_ROCKET,否,25,25,否,无,无,58.4397934,116.8795868,否,无,25,0.0,无,无,14609.948349999999,无,无,无,无,3.0,292.198967,500.0,1314.8953514999998,无,无,无,否,是,0.3,4,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,4,0.3,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_RBS132_AP_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,25,0.0,无,无,14609.948349999999,无,无,无,无,3.0,292.198967,500.0,1314.8953514999998,无,无,无,否,是,0.3,6,是,无,1800,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.3,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_ROFS132_HE_Rocket_x10,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.4,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.2,10,是,无,2400,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,10,0.2,EArmeType/Frag,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_ROFS132_HE_Rocket_x4,MinMax_ROCKET,否,25,25,否,无,无,58.4397934,116.8795868,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.4,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.3,4,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,4,0.3,EArmeType/Frag,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_ROFS132_HE_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.4,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.3,6,是,无,1800,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.3,EArmeType/Frag,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_RS132_HE_Rocket_x10,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.6,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.2,10,是,无,1980,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,10,0.2,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_RS132_HE_Rocket_x4,MinMax_ROCKET,否,25,25,否,无,无,58.4397934,116.8795868,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.6,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.3,4,是,无,1200,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,4,0.3,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_132mm_RS132_HE_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.6,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.3,6,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,6,0.3,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_150mm_RP3_HE_Rocket_x4,MinMax_ROCKET,否,25,25,否,无,无,58.4397934,116.8795868,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.8,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.3,4,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,4,0.3,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_150mm_RP3_HE_Rocket_x8,MinMax_ROCKET,否,25,25,否,无,无,87.65969009999999,175.31938019999998,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.8,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.3,8,是,无,1980,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.2,否,是,无,无,无,8,0.3,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_150mm_RP3_HESAP_Rocket_x8,MinMax_ROCKET,否,25,25,否,无,无,87.65969009999999,175.31938019999998,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,3.3,438.2984505,625.0,1636.3142152,无,无,无,否,是,0.3,8,是,无,2400,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,8,0.3,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_20_ItK40_VKT_20mm_AA,MinMax_AUTOCANAA,否,10,否,否,无,无,58.4397934,146.0994835,否,无,8,0.0,无,无,0.0,无,无,无,无,是,146.0994835,50.0,876.596901,无,无,无,否,5.0,0.2,20,是,无,200,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,20,0.2,EArmeType/BalleDCA,0.0,0.0,0.0,无
Ammo_20_ItK40_VKT_20mm_AP,MinMax_Rifle,否,15,否,否,无,-1,无,29.2198967,否,无,20,0.0,无,无,10957.461262499999,无,无,无,无,4.0,2.92198967,45.0,131.48953515,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_750m,无,2.0,5.0,0.2,40,是,无,80,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,40,0.2,EArmeType/AP_6,0.0,10957.461262499999,0.0,无
Ammo_20_ItK40_VKT_20mm_HE,MinMax_AUTOCANAA,否,10,否,否,无,-1,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,0.8,116.8795868,20.0,292.198967,无,无,无,2.0,5.0,0.2,40,是,无,320,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,40,0.2,EArmeType/HE,0.0,10957.461262499999,0.0,无
